Sub Classification,Brand,Dosage Form,Unit of Measure ,Line Item Quantity,Line Item Value,Pack Price,Unit Price,Weight ,Freight Cost
65,71,84,30,87667,945050.26,10.78,0.36,11717,74740.8
65,71,84,30,10267,58932.58,5.74,0.19,816,3623.2
65,71,84,30,25000,83250,3.33,0.11,3591,21593.88
65,71,84,30,30196,96929.16,3.21,0.11,3591,5153.54
80,71,84,90,5840,54312,9.3,0.1,347,3132.77
65,71,84,60,100000,811000,8.11,0.14,18737,9857.35
65,71,84,60,5572,24071.04,4.32,0.07,571,578.25
65,65,84,120,32294,610356.6,18.9,0.16,20132,97918.87
80,71,84,60,60000,237000,3.95,0.07,2484,3613.05
80,71,84,60,23000,90850,3.95,0.07,952,1521.08
65,71,84,30,21529,101186.3,4.7,0.16,9530,16468.54
65,71,84,60,7480,60662.8,8.11,0.14,1278,12197.44
65,71,84,60,200000,1622000,8.11,0.14,51698,28812.57
65,71,84,30,12710,40799.1,3.21,0.11,9511,10217.02
65,71,84,30,2756,37261.12,13.52,0.45,248,1933.72
65,71,84,60,3068,7976.8,2.6,0.04,150,118.16
65,71,84,60,2030,4425.4,2.18,0.04,6342,3290.58
80,71,84,60,3071,12560.39,4.09,0.07,115,630
80,71,67,60,6459,0,0,0,565,11705.87
65,71,84,60,40070,324967.7,8.11,0.14,28111,18448.52
80,71,67,90,10230,56265,5.5,0.06,1505,10060
65,71,84,60,40000,324400,8.11,0.14,9632,15571.48
80,71,67,60,132,262.68,1.99,0.03,23,1651
80,71,67,60,17980,38657,2.15,0.04,2152,837.59
65,71,84,60,106754,881788.04,8.26,0.14,28021,19662.09
80,71,79,240,27264,41168.64,1.51,0.01,10191,8520.87
80,71,84,60,46973,187892,4,0.07,3237,4208.35
65,71,84,60,1428,9424.8,6.6,0.11,331,4218.74
65,71,84,30,5905,21376.1,3.62,0.12,599,2440.19
80,71,67,60,10602,38167.2,3.6,0.06,3919,4083.5
80,71,84,60,50847,200845.65,3.95,0.07,2372,2599.36
80,71,79,240,1135,1713.85,1.51,0.01,1165,13290.31
65,71,84,120,1156,22726.96,19.66,0.16,2187,24532.28
65,71,84,60,191230,1550875.3,8.11,0.14,27094,70210
65,71,84,30,19356,261112.44,13.49,0.45,1960,7009
65,65,84,120,28000,529200,18.9,0.16,6702,20526
65,71,84,60,45307,367439.77,8.11,0.14,20329,49570
65,71,84,30,42531,196918.53,4.63,0.15,7043,6852.08
65,71,84,60,14011,113629.21,8.11,0.14,1755,4328.9
65,71,84,30,73467,340886.88,4.64,0.15,17317,26620.36
80,71,79,240,4000,7960,1.99,0.01,10413,39599.1
65,71,84,60,7442,19349.2,2.6,0.04,12408,15645.33
80,71,84,90,1016,9448.8,9.3,0.1,367,3783.24
65,71,84,60,139000,935470,6.73,0.11,12307,8191.96
65,71,84,30,189,691.74,3.66,0.12,15,925.6
65,71,84,60,62,687.58,11.09,0.18,6,865.15
65,65,84,120,1184,22377.6,18.9,0.16,251,3247.35
65,71,84,30,10000,31200,3.12,0.1,24636,46181.17
80,71,84,90,868,8072.4,9.3,0.1,173,2124.48
65,71,84,30,19086,88368.18,4.63,0.15,2389,10011.25
65,71,84,60,17246,116065.58,6.73,0.11,1519,1932.67
80,71,67,60,57804,208094.4,3.6,0.06,15222,18513.23
65,71,84,30,912,4213.44,4.62,0.15,1744,10363.49
65,71,84,30,21868,100374.12,4.59,0.15,4326,9426.33
65,71,84,30,5148,49420.8,9.6,0.32,12079,16971.93
80,71,84,60,6634,26204.3,3.95,0.07,6368,225.79
65,71,84,60,21347,113779.51,5.33,0.09,1554,3583
80,71,84,60,33308,131566.6,3.95,0.07,2803,4040.64
65,71,84,60,68000,118320,1.74,0.03,6221,9341.81
65,71,84,60,145000,1119400,7.72,0.13,16614,24788.37
65,71,84,60,3926,8558.68,2.18,0.04,477,535.52
65,71,84,30,43272,198618.48,4.59,0.15,4285,34216.25
65,71,84,60,90000,694800,7.72,0.13,17769,36897.57
80,71,79,240,96,1405.44,14.64,0.06,54,1576.32
80,71,79,240,1758,3691.8,2.1,0.01,604,7100.04
65,71,84,60,6050,17545,2.9,0.05,442,5028.04
65,71,84,60,15584,174852.48,11.22,0.19,6843,15170.33
65,71,84,30,4700,27166,5.78,0.19,680,3335.33
65,71,84,60,1437,4167.3,2.9,0.05,138,1211.48
65,71,84,60,42751,374498.76,8.76,0.15,3409,11637.64
65,71,84,60,225,4819.5,21.42,0.36,306,4030.02
65,71,84,60,21,51.24,2.44,0.04,1,792.62
65,71,84,60,9780,73643.4,7.53,0.13,550,2794.67
80,71,79,240,400,5856,14.64,0.06,146,5254.09
65,71,84,60,30000,262800,8.76,0.15,2715,7403.18
65,71,84,60,20000,175200,8.76,0.15,1807,21347.2
65,71,84,60,45116,506201.52,11.22,0.19,5285,11065
80,71,67,100,2604,12603.36,4.84,0.05,675,1702.91
65,71,84,60,75,255,3.4,0.06,10,1865.86
65,71,84,60,5000,13650,2.73,0.05,861,7383.9
65,71,84,30,2000,10260,5.13,0.17,563,1524.56
65,71,84,90,854,23485,27.5,0.31,142,9736.1
65,71,84,30,14600,69350,4.75,0.16,1288,9736.1
65,71,84,60,4000,35040,8.76,0.15,263,2458.26
65,71,84,60,1227,10748.52,8.76,0.15,107,9736.1
65,84,84,30,3120,81900,26.25,0.88,798,2941.11
65,71,84,60,54096,473880.96,8.76,0.15,4660,9736.1
80,71,79,240,1417,2593.11,1.83,0.01,538,2195.9
65,71,84,30,3604,17119,4.75,0.16,499,5783.6
65,71,84,60,4000,68560,17.14,0.29,400,961.46
80,71,79,240,480,6528,13.6,0.06,390,6438.38
65,71,84,30,43512,206682,4.75,0.16,3609,32479.84
65,71,84,60,5000,56000,11.2,0.19,690,5410.32
65,71,84,60,69,168.36,2.44,0.04,77,961.46
65,71,84,60,80010,897712.2,11.22,0.19,9402,33266.37
65,71,84,60,60000,343800,5.73,0.1,7268,13243.91
65,71,84,60,561,3214.53,5.73,0.1,341,114.22
65,71,84,30,39312,174938.4,4.45,0.15,7225,69748.5
80,71,67,60,192,2976,15.5,0.26,8085,78061.3
80,71,67,30,230,515.2,2.24,0.07,411,3380.86
65,71,84,60,5900,19352,3.28,0.05,18105,16594.87
65,71,84,30,90000,400500,4.45,0.15,7397,28022.17
65,71,84,60,32920,76703.6,2.33,0.04,18057,16868.38
65,71,84,30,8640,97977.6,11.34,0.38,11468,7816.45
65,71,84,30,20000,398400,19.92,0.66,2181,20264.93
65,71,84,30,1000,19920,19.92,0.66,101,20264.93
65,71,84,60,87071,224643.18,2.58,0.04,6291,20265
65,71,84,60,3000,49320,16.44,0.27,342,1419.84
65,71,84,60,233,619.78,2.66,0.04,1161,7826.75
65,71,84,60,62753,536538.15,8.55,0.14,5090,35284.86
65,71,84,120,3900,140400,36,0.3,950,1842.95
80,71,84,60,1988,6461,3.25,0.05,1671,5346.74
65,71,84,60,19512,104974.56,5.38,0.09,10589,15608.15
65,71,84,60,32000,264320,8.26,0.14,3175,13398.04
65,71,84,60,12609,104150.34,8.26,0.14,4114,13398.06
80,71,67,90,1220,11821.8,9.69,0.11,169,13398.06
65,71,84,30,72029,303962.38,4.22,0.14,7682,28541.79
